,accuracy,f1_score,loss,recall,val_accuracy,val_f1_score,val_loss,val_recall
sgd_01_nw,0.9345437117985317,0.8491900886808122,0.31143990116459985,0.9622641801834106,0.9605714355196272,0.9273227981158665,0.2745451731341226,1.0
sgd_0001_nw,0.7525083422660828,0.5795454382896423,0.46314780286380225,0.9622641801834106,0.699999988079071,0.6052631139755249,0.4795298865863255,1.0
sgd_01_w,0.716101290498461,0.5301735253206321,0.47377297282218933,0.8452830242259162,0.6954285749367305,0.5674892868314471,0.5373390597956521,0.8496894466025489
sgd_0001_w,0.7548972538539341,0.5770854779652187,0.3830705489431109,0.9433962106704712,0.7577142783573696,0.6449153201920645,0.4695008397102356,0.95652174949646
adam_001_nw,0.5516483528273446,0.3005655927317483,0.8067769936152867,0.540161726304463,0.46171427965164186,0.27497521809169223,0.9463790195328848,0.4434782564640045
adam_0001_nw,0.6077400820595877,0.4087757050991058,0.6567338330405099,0.7649595720427377,0.6605714491435459,0.5004449307918548,0.6054180196353367,0.739130437374115
adam_001_w,0.6399426664624895,0.4604405292442867,0.5565932716642107,0.8614555273737227,0.5699999996594021,0.4576436723981585,0.7733888949666704,0.7863353950636728
adam_0001_w,0.8178690825189863,0.6606496708733695,0.2993480426924569,1.0,0.7297143050602504,0.6300017578261239,0.5072052018983023,1.0
